registros,natureza,municipio,cod_municipio,mes,ano,risp,rmbh
6,Homicídio Tentado,UBERLANDIA,317020,2,2020,9,NÃO
187,Roubo Consumado,UBERLANDIA,317020,2,2020,9,NÃO
14,Roubo Tentado,UBERLANDIA,317020,2,2020,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,2,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,2,2020,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,3,2020,9,NÃO
6,Estupro de Vulnerável Consumado,UBERLANDIA,317020,3,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,3,2020,9,NÃO
1,Estupro Tentado,UBERLANDIA,317020,3,2020,9,NÃO
0,Extorsão Consumado,UBERLANDIA,317020,3,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,3,2020,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,3,2020,9,NÃO
3,Homicídio Tentado,UBERLANDIA,317020,3,2020,9,NÃO
187,Roubo Consumado,UBERLANDIA,317020,3,2020,9,NÃO
9,Roubo Tentado,UBERLANDIA,317020,3,2020,9,NÃO
1,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,3,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,3,2020,9,NÃO
1,Estupro Consumado,UBERLANDIA,317020,4,2020,9,NÃO
2,Estupro de Vulnerável Consumado,UBERLANDIA,317020,4,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,4,2020,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,4,2020,9,NÃO
1,Extorsão Consumado,UBERLANDIA,317020,4,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,4,2020,9,NÃO
0,Extorsão Tentado,UBERLANDIA,317020,4,2020,9,NÃO
4,Homicídio Tentado,UBERLANDIA,317020,4,2020,9,NÃO
153,Roubo Consumado,UBERLANDIA,317020,4,2020,9,NÃO
13,Roubo Tentado,UBERLANDIA,317020,4,2020,9,NÃO
0,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,4,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,4,2020,9,NÃO
2,Estupro Consumado,UBERLANDIA,317020,5,2020,9,NÃO
5,Estupro de Vulnerável Consumado,UBERLANDIA,317020,5,2020,9,NÃO
0,Estupro de Vulnerável Tentado,UBERLANDIA,317020,5,2020,9,NÃO
0,Estupro Tentado,UBERLANDIA,317020,5,2020,9,NÃO
0,Extorsão Consumado,UBERLANDIA,317020,5,2020,9,NÃO
0,Extorsão Mediante Sequestro Consumado,UBERLANDIA,317020,5,2020,9,NÃO
1,Extorsão Tentado,UBERLANDIA,317020,5,2020,9,NÃO
2,Homicídio Tentado,UBERLANDIA,317020,5,2020,9,NÃO
127,Roubo Consumado,UBERLANDIA,317020,5,2020,9,NÃO
17,Roubo Tentado,UBERLANDIA,317020,5,2020,9,NÃO
2,Sequestro e Cárcere Privado Consumado,UBERLANDIA,317020,5,2020,9,NÃO
0,Sequestro e Cárcere Privado Tentado,UBERLANDIA,317020,5,2020,9,NÃO
1,Estupro Consumado,UBERLANDIA,317020,6,2020,9,NÃO
3,Estupro de Vulnerável Consumado,UBERLANDIA,317020,6,2020,9,NÃO
